_element_key,_element_name,_element_type,_list_child_element_keys
age,age,integer,[]
cohort,cohort,string,[]
consent,consent,string,[]
first_name,first_name,string,[]
gender,gender,string,[]
household_id,household_id,string,[]
id,id,string,[]
interviewer_name,interviewer_name,string,[]
interviewer_name_other,interviewer_name_other,string,[]
log_0,log_0,string(60000),[]
log_1,log_1,string(60000),[]
log_10,log_10,string(60000),[]
log_11,log_11,string(60000),[]
log_12,log_12,string(60000),[]
log_13,log_13,string(60000),[]
log_14,log_14,string(60000),[]
log_15,log_15,string(60000),[]
log_16,log_16,string(60000),[]
log_17,log_17,string(60000),[]
log_18,log_18,string(60000),[]
log_19,log_19,string(60000),[]
log_2,log_2,string(60000),[]
log_3,log_3,string(60000),[]
log_4,log_4,string(60000),[]
log_5,log_5,string(60000),[]
log_6,log_6,string(60000),[]
log_7,log_7,string(60000),[]
log_8,log_8,string(60000),[]
log_9,log_9,string(60000),[]
marital_status,marital_status,string,[]
notes,notes,string,[]
other_name,other_name,string,[]
p_lassa,p_lassa,string,[]
phone_number,phone_number,string,[]
registration_date,registration_date,date,[]
surname,surname,string,[]
